name,source,source_type,origin_name,community,processes,varieties,tasting
Privam Estate AA Week 23,Privam Estate,estate,Embu,,washed,Batian;Ruiru 11;SL28,brown sugar;green apple;lime;nougat;pear
Tariku Kare,Tariku Kare,wet mill,Sidama,Bombe,washed,heirloom,caramel;honeydew;key lime;peach tea;pink lemonade
Dukorere Kawa Anaerobic Lot 10,Dukorere Kawa,cooperative,Northern,Bukure,washed;anaerobic,Bourbon,blackberry jam;cherry cordial;cocoa;cola;lime
Salomon Estela Marshell Natural K56,El Pino,producer,Cajamarca,,natural,Marshell,boysenberry;cocoa;fudge;hazelnut;lemon;lime seltzer;lingonberry;malt chocolate;raspberry;wine
Placer de la Tarde,,,Huila,San Agustin,decaf;sugarcane,,
